postcode,population_2011,population_2022,population_2023,population_2024
DL13 5,3304,3539,3568,3618
DL14 0,6311,6760,6816,6911
DL14 6,11580,12404,12506,12680
DL14 7,4682,5015,5057,5127
DL14 8,6803,7287,7347,7449
DL14 9,7696,8244,8312,8427
DL15 0,8730,9352,9428,9559
DL15 8,5297,5674,5721,5800
DL15 9,8470,9073,9148,9275
DL16 6,11219,12018,12117,12285
DL16 7,8597,9209,9285,9414
DL17 0,4954,5307,5350,5425
DL17 8,8942,9579,9657,9791
DL17 9,3776,4045,4078,4135
DL2  1,5868,6286,6337,6425
DL2  2,7198,7710,7774,7882
DL2  3,3914,4193,4227,4286
DL3  0,15145,16223,16357,16584
DL3  6,8624,9238,9314,9443
DL3  7,4094,4385,4422,4483
DL3  8,7742,8293,8361,8477
DL3  9,9107,9755,9836,9972
DL4  1,4942,5294,5337,5411
DL4  2,5034,5392,5437,5512
DL5  4,9515,10192,10276,10419
DL5  5,6185,6625,6680,6773
DL5  6,3997,4282,4317,4377
DL5  7,9643,10330,10414,10559
DL6  1,8869,9500,9579,9712
DL6  2,3981,4264,4299,4359
DL6  3,2665,2855,2878,2918
DL7  0,3135,3358,3386,3433
DL7  8,7726,8276,8344,8460
DL7  9,5357,5738,5786,5866
DL8  1,4562,4887,4927,4995
DL8  2,4514,4835,4875,4943
DL8  3,2928,3136,3162,3206
DL8  4,3071,3290,3317,3363
DL8  5,3575,3830,3861,3915
DL9  3,7423,7952,8017,8128
DL9  4,8436,9037,9111,9237
DN1  1,307,329,332,336
DN1  2,6392,6847,6903,6999
DN1  3,2036,2181,2199,2229
DN10 4,5286,5662,5709,5788
DN10 5,1631,1747,1761,1786
DN10 6,5169,5537,5583,5660
DN11 0,13537,14501,14620,14823
DN11 8,8294,8885,8958,9082
DN11 9,6521,6985,7043,7140
DN12 1,7856,8415,8484,8602
DN12 2,5928,6350,6402,6491
DN12 3,5803,6216,6267,6354
DN12 4,4532,4855,4895,4963
DN14 0,7301,7821,7885,7995
DN14 5,7850,8409,8478,8596
DN14 6,12960,13883,13997,14191
DN14 7,7172,7683,7746,7853
DN14 8,4824,5167,5210,5282
DN14 9,6135,6572,6626,6718
DN15 0,1067,1143,1152,1168
DN15 6,5106,5470,5514,5591
DN15 7,8581,9192,9267,9396
DN15 8,12187,13055,13162,13345
DN15 9,9662,10350,10435,10580
DN16 1,9044,9688,9768,9903
DN16 2,8659,9276,9352,9482
DN16 3,13964,14958,15081,15291
DN17 1,12004,12859,12964,13144
DN17 2,11511,12331,12432,12605
DN17 3,7315,7836,7900,8010
DN17 4,6358,6811,6867,6962
DN18 5,8684,9302,9379,9509
DN18 6,3033,3249,3276,3321
DN19 7,6282,6729,6785,6879
DN2  4,8183,8766,8838,8960
DN2  5,8087,8663,8734,8855
DN2  6,8281,8871,8943,9068
DN20 0,6875,7364,7425,7528
DN20 8,6812,7297,7357,7459
DN20 9,5500,5892,5940,6022
DN21 1,11713,12547,12650,12826
DN21 2,6795,7279,7339,7441
DN21 3,7346,7869,7934,8044
DN21 4,5138,5504,5549,5626
DN21 5,6229,6673,6727,6821
DN22 0,4803,5145,5187,5259
DN22 6,7447,7977,8043,8154
DN22 7,14903,15964,16095,16319
DN22 8,5826,6241,6292,6379
DN22 9,3107,3328,3356,3402
DN3  1,8327,8920,8993,9118
DN3  2,11824,12666,12770,12947
DN3  3,9918,10624,10711,10860
DN31 1,1928,2065,2082,2111
DN31 2,7481,8014,8079,8192
DN31 3,210,225,227,230
DN32 0,6619,7090,7149,7248
DN32 7,6663,7137,7196,7296
DN32 8,8466,9069,9143,9270
DN32 9,8509,9115,9190,9317
DN33 1,7111,7617,7680,7787
DN33 2,5126,5491,5536,5613
DN33 3,7301,7821,7885,7995
DN34 4,8407,9006,9080,9206
DN34 5,10594,11348,11442,11600
DN35 0,8606,9219,9294,9424
DN35 7,11839,12682,12786,12964
DN35 8,8185,8768,8840,8963
DN35 9,5931,6353,6405,6494
DN36 4,10848,11620,11716,11879
DN36 5,8255,8843,8915,9039
DN37 0,7975,8543,8613,8733
DN37 7,3542,3794,3825,3878
DN37 8,400,428,432,438
DN37 9,9828,10528,10614,10762
DN38 6,3023,3238,3265,3310
DN39 6,2846,3049,3074,3116
DN4  0,10620,11376,11470,11629
DN4  5,5407,5792,5840,5921
DN4  6,11640,12469,12571,12746
DN4  7,7766,8319,8387,8504
DN4  8,7638,8182,8249,8364
DN4  9,10344,11080,11172,11327
DN40 1,5650,6052,6102,6187
DN40 2,3992,4276,4311,4371
DN40 3,2657,2846,2870,2909
DN41 7,2940,3149,3175,3219
DN41 8,3326,3563,3592,3642
DN5  0,9827,10527,10613,10761
DN5  7,8833,9462,9540,9672
DN5  8,11474,12291,12392,12564
DN5  9,10730,11494,11588,11749
DN6  0,6283,6730,6786,6880
DN6  7,10737,11501,11596,11757
DN6  8,8688,9307,9383,9513
DN6  9,5440,5827,5875,5957
DN7  4,8354,8949,9022,9148
DN7  5,7284,7803,7867,7976
DN7  6,8972,9611,9690,9824
DN8  4,9796,10493,10580,10727
DN8  5,7499,8033,8099,8211
DN9  1,8575,9186,9261,9390
DN9  2,5039,5398,5442,5518
DN9  3,6404,6860,6916,7012
DT1  1,5930,6352,6404,6493
DT1  2,10864,11638,11733,11896
DT1  3,2266,2427,2447,2481
DT10 1,6104,6539,6592,6684
DT10 2,5737,6145,6196,6282
DT11 0,7206,7719,7782,7891
DT11 7,10325,11060,11151,11306
DT11 8,7905,8468,8537,8656
DT11 9,4720,5056,5098,5168
DT2  0,3582,3837,3869,3922
DT2  7,5738,6147,6197,6283
DT2  8,7849,8408,8477,8595
DT2  9,7657,8202,8270,8384
DT3  4,5626,6027,6076,6160
DT3  5,8977,9616,9695,9830
DT3  6,8535,9143,9218,9346
DT4  0,12649,13550,13661,13851
DT4  7,7697,8245,8313,8428
DT4  8,4597,4924,4965,5034
DT4  9,12350,13229,13338,13523
DT5  1,6580,7048,7106,7205
DT5  2,6264,6710,6765,6859
DT6  3,6302,6751,6806,6901
DT6  4,5789,6201,6252,6339
DT6  5,5928,6350,6402,6491
DT6  6,3540,3792,3823,3876
DT7  3,5696,6102,6152,6237
DT8  3,6000,6427,6480,6570
DT9  3,3568,3822,3853,3907
DT9  4,5651,6053,6103,6188
DT9  5,4950,5302,5346,5420
DT9  6,6621,7092,7151,7250
DY1  1,748,801,808,819
DY1  2,14344,15365,15492,15707
DY1  3,11246,12047,12146,12314
DY1  4,5793,6205,6256,6343
DY10 1,7077,7581,7643,7749
DY10 2,11110,11901,11999,12165
DY10 3,10247,10977,11067,11220
DY10 4,7380,7905,7970,8081
DY11 5,9960,10669,10757,10906
DY11 6,12434,13319,13429,13615
DY11 7,7683,8230,8298,8413
DY12 1,4960,5313,5357,5431
DY12 2,5976,6401,6454,6544
DY12 3,1369,1466,1479,1499
DY13 0,6755,7236,7295,7397
DY13 8,8832,9461,9539,9671
DY13 9,6622,7093,7152,7251
DY14 0,1775,1901,1917,1944
DY14 8,3843,4117,4150,4208
DY14 9,2911,3118,3144,3188
DY2  0,11024,11809,11906,12071
DY2  7,7648,8193,8260,8375
DY2  8,7069,7572,7635,7741
DY2  9,8720,9341,9418,9548
DY3  1,9578,10260,10344,10488
DY3  2,11240,12040,12139,12308
DY3  3,11109,11900,11998,12164
DY3  4,1803,1931,1947,1974
DY4  0,13881,14869,14991,15200
DY4  7,9825,10525,10611,10758
DY4  8,11217,12016,12114,12283
DY4  9,7923,8487,8557,8676
DY5  1,6453,6912,6969,7066
DY5  2,13659,14632,14752,14957
DY5  3,13053,13982,14097,14293
DY5  4,8733,9355,9432,9563
DY6  0,4060,4349,4385,4446
DY6  7,4124,4418,4454,4516
DY6  8,10735,11499,11594,11755
DY6  9,8570,9180,9256,9384
DY7  5,2208,2365,2385,2418
DY7  6,6092,6526,6579,6671
DY8  1,5551,5946,5995,6078
DY8  2,6038,6468,6521,6612
DY8  3,12558,13452,13563,13751
DY8  4,13351,14302,14419,14619
DY8  5,13239,14182,14298,14497
DY9  0,10867,11641,11736,11899
DY9  7,4985,5340,5384,5459
DY9  8,5929,6351,6403,6492
DY9  9,8291,8881,8954,9079
E1   0,11066,11854,11951,12117
E1   1,6305,6754,6809,6904
E1   2,7872,8432,8502,8620
E1   3,7366,7890,7955,8066
E1   4,15388,16484,16619,16850
E1   5,11202,12000,12098,12266
E1   6,4333,4642,4680,4745
E1   7,2483,2660,2682,2719
E1   8,4374,4685,4724,4790
E10  5,14857,15915,16046,16268
E10  6,16361,17526,17670,17915
E10  7,11902,12749,12854,13033
E11  1,11673,12504,12607,12782
E11  2,11440,12255,12355,12527
E11  3,16434,17604,17749,17995
E11  4,15142,16220,16353,16580
E12  5,16644,17829,17976,18225
E12  6,25962,27810,28039,28428
E13  0,19094,20453,20622,20908
E13  8,13717,14694,14814,15020
E13  9,14358,15380,15507,15722
E14  0,10795,11564,11659,11821
E14  2,1760,1885,1901,1927
E14  3,17059,18274,18424,18680
E14  4,468,501,505,512
E14  5,649,695,701,711
E14  6,12181,13048,13155,13338
E14  7,12828,13741,13854,14047
E14  8,12380,13261,13370,13556
E14  9,14518,15552,15679,15897
E15  1,13928,14920,15042,15251
E15  2,10963,11744,11840,12004
E15  3,14417,15443,15570,15787
E15  4,12342,13221,13329,13514
E16  1,11995,12849,12955,13135
E16  2,9795,10492,10579,10726
E16  3,14011,15009,15132,15342
E16  4,9570,10251,10336,10479
E17  3,12624,13523,13634,13823
E17  4,16479,17652,17797,18045
E17  5,17002,18213,18362,18617
E17  6,17015,18226,18376,18631
E17  7,11177,11973,12071,12239
E17  8,15726,16846,16984,17220
E17  9,13106,14039,14154,14351
E18  1,7920,8484,8554,8672
E18  2,11944,12794,12900,13079
E1W  1,2506,2684,2706,2744
E1W  2,4204,4503,4540,4603
E1W  3,5718,6125,6175,6261
E2   0,11253,12054,12153,12322
E2   6,9423,10094,10177,10318
E2   7,9106,9754,9834,9971
E2   8,7539,8076,8142,8255
E2   9,8490,9094,9169,9297
E3   2,13970,14965,15088,15297
E3   3,10681,11441,11535,11696
E3   4,15169,16249,16383,16610
E3   5,12551,13445,13555,13743
E4   6,16960,18168,18317,18571
E4   7,11697,12530,12633,12808
E4   8,14418,15445,15571,15788
E4   9,17282,18512,18665,18924
E5   0,17276,18506,18658,18917
E5   8,16080,17225,17366,17608
E5   9,15136,16214,16347,16574
E6   1,16731,17922,18069,18320
E6   2,18102,19391,19550,19822
E6   3,21007,22503,22688,23003
E6   5,11066,11854,11951,12117
E6   6,11884,12730,12835,13013
E7   0,14800,15854,15984,16206
E7   8,21075,22576,22761,23077
E7   9,18258,19558,19719,19993
E8   1,8368,8964,9037,9163
E8   2,10061,10777,10866,11017
E8   3,10444,11188,11280,11436
E8   4,10387,11127,11218,11374
E9   5,12702,13606,13718,13909
E9   6,11561,12384,12486,12659
E9   7,13505,14467,14585,14788
EC1A 4,143,153,154,157
EC1A 7,393,421,424,430
EC1A 9,358,383,387,392
EC1M 3,428,458,462,469
EC1M 5,1105,1184,1193,1210
EC1M 6,753,807,813,825
EC1M 7,187,200,202,205
EC1N 7,2011,2154,2172,2202
EC1N 8,639,684,690,700
EC1R 0,1225,1312,1323,1341
EC1R 1,1239,1327,1338,1357
EC1R 3,298,319,322,326
EC1R 4,1422,1523,1536,1557
EC1R 5,701,751,757,768
EC1V 0,2106,2256,2274,2306
EC1V 1,223,239,241,244
EC1V 2,121,130,131,132
EC1V 3,3194,3421,3450,3497
EC1V 4,1342,1438,1449,1469
EC1V 7,2333,2499,2520,2555
EC1V 8,1711,1833,1848,1874
EC1V 9,1735,1859,1874,1900
EC1Y 0,1216,1303,1313,1332
EC1Y 2,204,219,220,223
EC1Y 4,325,348,351,356
EC1Y 8,2022,2166,2184,2214
EC2A 3,483,517,522,529
EC2A 4,746,799,806,817
EC2Y 8,3249,3480,3509,3558
EC3R 8,227,243,245,249
EC4A 1,151,162,163,165
EC4V 3,319,342,345,349
EC4V 5,276,296,298,302
EC4Y 7,320,343,346,350
EN1  1,12238,13109,13217,13401
EN1  2,7094,7599,7662,7768
EN1  3,12261,13134,13242,13426
EN1  4,13404,14358,14476,14677
EN10 6,10904,11680,11776,11940
EN10 7,6132,6569,6623,6715
EN11 0,6488,6950,7007,7104
EN11 8,6633,7105,7164,7263
EN11 9,8330,8923,8996,9121
EN2  0,9548,10228,10312,10455
EN2  6,4241,4543,4580,4644
EN2  7,7240,7755,7819,7928
EN2  8,7071,7574,7637,7743
EN2  9,1609,1724,1738,1762
EN3  4,11749,12586,12689,12865
EN3  5,15971,17108,17249,17488
EN3  6,19395,20776,20947,21238
EN3  7,9958,10667,10755,10904
EN4  0,5253,5627,5673,5752
EN4  8,12276,13150,13258,13442
EN4  9,8049,8622,8693,8814
EN5  1,6783,7266,7326,7427
EN5  2,13749,14728,14849,15055
EN5  3,3505,3755,3785,3838
EN5  4,5634,6035,6085,6169
EN5  5,8400,8998,9072,9198
EN6  1,6386,6841,6897,6993
EN6  2,6924,7417,7478,7582
EN6  3,5390,5774,5821,5902
EN6  4,5181,5550,5595,5673
EN6  5,5129,5494,5539,5616
EN7  5,7447,7977,8043,8154
EN7  6,14603,15643,15771,15990
EN8  0,9579,10261,10345,10489
EN8  7,6936,7430,7491,7595
EN8  8,11174,11970,12068,12236
EN8  9,8137,8716,8788,8910
EN9  1,7754,8306,8374,8491
EN9  2,4799,5141,5183,5255
EN9  3,11080,11869,11966,12133
EX1  1,1726,1849,1864,1890
EX1  2,9195,9850,9931,10069
EX1  3,10600,11355,11448,11607
EX10 0,4638,4968,5009,5079
EX10 8,3420,3664,3694,3745
EX10 9,9149,9800,9881,10018
EX11 1,7795,8350,8419,8536
EX12 2,7096,7601,7664,7770
EX12 3,1824,1954,1970,1997
EX12 4,496,531,536,543
EX13 5,6997,7495,7557,7662
EX13 7,3789,4059,4092,4149
EX13 8,543,582,586,595
EX14 1,5958,6382,6435,6524
EX14 2,5525,5918,5967,6050
EX14 3,3799,4069,4103,4160
EX14 4,2461,2636,2658,2695
EX14 9,2944,3154,3180,3224
EX15 1,8766,9390,9467,9599
EX15 2,5881,6300,6351,6440
EX15 3,6666,7141,7199,7299
EX16 4,6179,6619,6673,6766
EX16 5,4920,5270,5314,5387
EX16 6,9691,10381,10466,10612
EX16 7,4384,4696,4735,4800
EX16 8,3909,4187,4222,4280
EX16 9,3357,3596,3626,3676
EX17 1,2185,2341,2360,2393
EX17 2,2176,2331,2350,2383
EX17 3,4362,4673,4711,4776
EX17 4,3273,3506,3535,3584
EX17 5,3320,3556,3586,3635
EX17 6,4223,4524,4561,4624
EX18 7,3117,3339,3366,3413
EX19 8,3525,3776,3807,3860
EX2  4,6190,6631,6685,6778
EX2  5,8864,9495,9573,9706
EX2  6,5456,5844,5892,5974
EX2  7,5196,5566,5612,5690
EX2  8,7809,8365,8434,8551
EX2  9,7183,7694,7758,7865
EX20 1,7898,8460,8530,8648
EX20 2,4542,4865,4905,4973
EX20 3,4457,4774,4814,4880
EX20 4,3069,3288,3315,3361
EX21 5,4620,4949,4990,5059
EX22 6,5939,6362,6414,6503
EX22 7,4806,5148,5190,5263
EX23 0,3460,3706,3737,3789
EX23 8,7401,7928,7993,8104
EX23 9,4843,5188,5230,5303
EX24 6,3789,4059,4092,4149
EX3  0,4940,5292,5335,5409
EX31 1,3560,3813,3845,3898
EX31 2,6325,6775,6831,6926
EX31 3,8170,8752,8824,8946
EX31 4,7420,7948,8014,8125
EX32 0,5336,5716,5763,5843
EX32 7,6937,7431,7492,7596
EX32 8,6266,6712,6767,6861
EX32 9,5239,5612,5658,5737
EX33 1,5362,5744,5791,5871
EX33 2,4862,5208,5251,5324
EX34 0,2687,2878,2902,2942
EX34 7,1637,1754,1768,1793
EX34 8,6457,6917,6974,7070
EX34 9,6525,6990,7047,7145
EX35 6,1647,1764,1779,1803
EX36 3,3920,4199,4234,4292
EX36 4,4557,4881,4922,4990
EX37 9,3362,3601,3631,3681
EX38 7,4488,4808,4847,4914
EX38 8,3644,3903,3936,3990
EX39 1,9389,10057,10140,10281
EX39 2,3760,4028,4061,4117
EX39 3,9009,9650,9730,9865
EX39 4,6870,7359,7420,7523
EX39 5,6224,6667,6722,6815
EX39 6,1911,2047,2064,2093
EX4  0,297,318,321,325
EX4  1,9206,9861,9942,10081
EX4  2,7726,8276,8344,8460
EX4  3,2148,2301,2320,2352
EX4  4,8928,9564,9642,9776
EX4  5,2990,3203,3229,3274
EX4  6,8172,8754,8826,8948
EX4  7,5260,5635,5681,5760
EX4  8,6261,6707,6762,6856
EX4  9,3723,3988,4021,4077
EX5  1,3521,3772,3803,3855
EX5  2,4779,5119,5161,5233
EX5  3,2353,2521,2541,2577
EX5  4,5055,5415,5459,5535
EX5  5,2860,3064,3089,3132
EX6  6,2793,2992,3016,3058
EX6  7,4007,4292,4328,4388
EX6  8,6873,7362,7423,7526
EX7  0,5664,6067,6117,6202
EX7  9,6768,7250,7309,7411
EX8  1,7109,7615,7678,7784
EX8  2,7664,8210,8277,8392
EX8  3,5540,5934,5983,6066
EX8  4,9532,10211,10295,10438
EX8  5,7604,8145,8212,8326
EX9  6,5185,5554,5600,5678
EX9  7,1578,1690,1704,1728
FY1  1,294,315,318,322
FY1  2,7870,8430,8500,8618
FY1  3,4412,4726,4765,4831
FY1  4,6528,6993,7050,7148
FY1  5,6129,6565,6619,6711
FY1  6,8401,8999,9073,9199
FY2  0,14413,15439,15566,15782
FY2  9,10146,10868,10958,11110
FY3  0,1932,2070,2087,2116
FY3  7,10503,11251,11343,11501
FY3  8,9532,10211,10295,10438
FY3  9,9988,10699,10787,10937
FY4  1,8507,9113,9188,9315
FY4  2,7805,8361,8429,8546
FY4  3,10358,11095,11187,11342
FY4  4,11958,12809,12915,13094
FY4  5,5036,5395,5439,5514
FY5  1,7947,8513,8583,8702
FY5  2,12093,12954,13060,13242
FY5  3,11154,11948,12046,12214
FY5  4,8381,8978,9051,9177
FY5  5,5241,5614,5660,5739
FY6  0,7177,7688,7751,7859
FY6  7,12715,13620,13732,13923
FY6  8,5367,5749,5796,5877
FY6  9,2744,2939,2964,3005
FY7  6,6830,7316,7376,7479
FY7  7,8967,9605,9684,9819
FY7  8,10142,10864,10953,11105
FY8  1,9332,9996,10079,10219
FY8  2,8790,9416,9493,9625
FY8  3,9816,10515,10601,10749
FY8  4,10136,10858,10947,11099
FY8  5,5979,6405,6457,6547
GL1  1,1920,2057,2074,2102
GL1  2,3794,4064,4098,4154
GL1  3,5846,6262,6314,6401
GL1  4,11963,12815,12920,13099
GL1  5,10629,11386,11479,11639
GL10 2,6858,7346,7407,7510
GL10 3,7095,7600,7663,7769
GL11 4,6187,6628,6682,6775
GL11 5,8033,8605,8676,8796
GL11 6,3919,4198,4233,4291
GL12 7,6328,6779,6834,6929
GL12 8,8717,9338,9414,9545
GL13 9,5863,6280,6332,6420
GL14 1,3804,4075,4108,4165
GL14 2,8039,8611,8682,8803
GL14 3,3879,4155,4189,4248
GL15 4,4988,5343,5387,5462
GL15 5,8776,9401,9478,9610
GL15 6,6979,7476,7537,7642
GL16 7,7116,7623,7685,7792
GL16 8,6265,6711,6766,6860
GL17 0,4537,4860,4900,4968
GL17 9,6643,7116,7174,7274
GL18 1,5999,6426,6479,6569
GL18 2,1494,1600,1614,1636
GL19 3,6644,7117,7176,7275
GL19 4,3159,3384,3412,3459
GL2  0,12031,12888,12993,13174
GL2  2,4975,5329,5373,5448
GL2  3,504,540,544,552
GL2  4,15690,16807,16945,17181
GL2  5,3698,3961,3994,4049
GL2  7,4760,5099,5141,5212
GL2  8,3662,3923,3955,4010
GL2  9,6499,6962,7019,7116
GL20 5,7139,7647,7710,7817
GL20 6,2835,3037,3062,3104
GL20 7,7412,7940,8005,8116
GL20 8,10847,11619,11715,11877
GL3  1,6039,6469,6522,6613
GL3  2,7419,7947,8013,8124
GL3  3,8442,9043,9117,9244
GL3  4,8592,9204,9279,9408
GL4  0,12327,13205,13313,13498
GL4  3,3248,3479,3508,3557
GL4  4,10405,11146,11237,11393
GL4  5,8878,9510,9588,9721
GL4  6,10413,11154,11246,11402
GL4  8,2537,2718,2740,2778
GL5  1,7953,8519,8589,8709
GL5  2,4534,4857,4897,4965
GL5  3,4357,4667,4706,4771
GL5  4,10516,11265,11357,11515
GL5  5,3680,3942,3974,4030
GL50 1,1007,1079,1088,1103
GL50 2,8317,8909,8982,9107
GL50 3,4247,4549,4587,4650
GL50 4,8925,9560,9639,9773
GL51 0,11984,12837,12943,13122
GL51 3,10060,10776,10865,11016
GL51 4,2413,2585,2606,2642
GL51 6,7961,8528,8598,8717
GL51 7,6501,6964,7021,7119
GL51 8,6893,7384,7444,7548
GL51 9,5708,6114,6165,6250
GL52 2,4640,4970,5011,5081
GL52 3,5567,5963,6012,6096
GL52 5,8768,9392,9469,9601
GL52 6,9425,10096,10179,10320
GL52 7,1538,1648,1661,1684
GL52 8,9509,10186,10270,10412
GL52 9,3818,4090,4123,4181
GL53 0,4129,4423,4459,4521
GL53 7,6185,6625,6680,6773
GL53 8,5344,5724,5772,5852
GL53 9,4097,4389,4425,4486
GL54 1,2982,3194,3221,3265
GL54 2,5513,5906,5954,6037
GL54 3,3687,3950,3982,4037
GL54 4,2905,3112,3137,3181
GL54 5,7059,7562,7624,7730
GL55 6,5422,5808,5856,5937
GL56 0,5159,5526,5572,5649
GL56 9,3244,3475,3504,3552
GL6  0,6366,6819,6875,6971
GL6  6,3986,4270,4305,4365
GL6  7,3775,4044,4077,4134
GL6  8,6627,7099,7157,7257
GL6  9,3706,3970,4002,4058
GL7  1,13973,14968,15091,15300
GL7  2,4922,5272,5316,5390
GL7  3,4675,5008,5049,5119
GL7  4,4359,4669,4708,4773
GL7  5,7284,7803,7867,7976
GL7  6,4833,5177,5220,5292
GL7  7,2234,2393,2413,2446
GL8  8,8541,9149,9224,9352
GL9  1,2667,2857,2880,2920
GU1  1,10647,11405,11499,11658
GU1  2,8898,9532,9610,9743
GU1  3,4646,4977,5018,5087
GU1  4,4978,5332,5376,5451
GU10 1,4581,4907,4947,5016
GU10 2,2887,3093,3118,3161
GU10 3,4437,4753,4792,4859
GU10 4,6553,7020,7077,7176
GU10 5,3780,4049,4082,4139
GU11 1,6271,6717,6773,6867
GU11 2,4626,4955,4996,5065
GU11 3,12395,13278,13387,13573
GU12 4,14535,15570,15698,15916
GU12 5,7763,8316,8384,8500
GU12 6,9181,9835,9915,10053
GU14 0,8039,8611,8682,8803
GU14 6,9418,10089,10171,10313
GU14 7,6129,6565,6619,6711
GU14 8,16241,17397,17540,17784
GU14 9,15167,16247,16380,16608
GU15 1,9935,10642,10730,10879
GU15 2,9561,10242,10326,10469
GU15 3,6729,7208,7267,7368
GU15 4,8553,9162,9237,9366
GU16 6,10274,11006,11096,11250
GU16 7,2067,2214,2232,2263
GU16 8,7653,8198,8265,8380
GU16 9,3773,4042,4075,4131
GU17 0,7195,7707,7771,7879
GU17 9,3906,4184,4218,4277
GU18 5,6791,7275,7334,7436
GU19 5,5592,5990,6039,6123
GU2  4,2782,2980,3005,3046
GU2  7,10846,11618,11714,11876
GU2  8,8305,8896,8969,9094
GU2  9,12239,13110,13218,13402
GU20 6,4392,4705,4743,4809
GU21 2,11651,12481,12583,12758
GU21 3,11100,11890,11988,12154
GU21 4,9883,10587,10674,10822
GU21 5,8575,9186,9261,9390
GU21 6,2317,2482,2502,2537
GU21 7,2064,2211,2229,2260
GU21 8,4148,4443,4480,4542
GU22 0,6979,7476,7537,7642
GU22 7,8866,9497,9575,9708
GU22 8,9655,10342,10427,10572
GU22 9,7900,8462,8532,8650
GU23 6,3842,4116,4149,4207
GU23 7,3027,3243,3269,3315
GU24 0,4963,5316,5360,5434
GU24 8,4224,4525,4562,4625
GU24 9,8658,9274,9351,9481
GU25 4,5448,5836,5884,5966
GU26 6,7475,8007,8073,8185
GU27 1,6763,7245,7304,7405
GU27 2,5039,5398,5442,5518
GU27 3,5923,6345,6397,6486
GU28 0,3772,4041,4074,4130
GU28 9,2878,3083,3108,3151
GU29 0,3206,3434,3462,3511
GU29 9,5888,6307,6359,6447
GU3  1,2442,2616,2637,2674
GU3  2,2416,2588,2609,2646
GU3  3,6213,6655,6710,6803
GU30 7,9081,9728,9807,9944
GU31 4,7643,8187,8254,8369
GU31 5,3580,3835,3866,3920
GU32 1,3312,3548,3577,3627
GU32 2,3833,4106,4140,4197
GU32 3,4824,5167,5210,5282
GU33 6,1935,2073,2090,2119
GU33 7,6507,6970,7028,7125
GU34 1,6437,6895,6952,7049
GU34 2,10206,10933,11022,11176
GU34 3,2480,2657,2678,2716
GU34 4,3912,4191,4225,4284
GU34 5,6748,7228,7288,7389
GU35 0,11209,12007,12106,12274
GU35 8,5613,6013,6062,6146
GU35 9,6246,6691,6746,6839
GU4  7,10772,11539,11634,11795
GU4  8,5122,5487,5532,5609
GU46 6,11356,12165,12264,12435
GU46 7,3473,3720,3751,3803
GU47 0,10693,11454,11548,11709
GU47 8,4389,4701,4740,4806
GU47 9,3780,4049,4082,4139
GU5  0,6971,7467,7529,7633
GU5  9,4249,4552,4589,4653
GU51 1,5183,5552,5598,5675
GU51 2,2542,2723,2745,2783
GU51 3,8538,9146,9221,9349
GU51 4,4047,4335,4371,4431
GU51 5,3294,3529,3558,3607
GU52 0,2469,2645,2667,2704
GU52 6,7574,8113,8180,8294
GU52 7,3257,3489,3518,3566
GU52 8,2653,2842,2865,2905
GU6  7,8121,8699,8771,8892
GU6  8,6083,6516,6570,6661
GU7  1,7634,8178,8245,8359
GU7  2,7064,7567,7629,7735
GU7  3,8126,8705,8776,8898
GU8  4,5705,6111,6161,6247
GU8  5,8130,8709,8780,8902
GU8  6,3813,4084,4118,4175
GU9  0,7433,7962,8028,8139
GU9  7,5155,5522,5567,5645
GU9  8,9654,10341,10426,10571
GU9  9,7442,7972,8037,8149
HA0  1,9910,10616,10703,10851
HA0  2,13298,14245,14362,14561
HA0  3,11562,12385,12487,12660
HA0  4,13588,14555,14675,14879
HA1  1,7620,8163,8230,8344
HA1  2,7338,7860,7925,8035
HA1  3,10733,11497,11592,11753
HA1  4,13518,14480,14599,14802
HA2  0,10856,11629,11724,11887
HA2  6,8285,8875,8948,9072
HA2  7,7665,8211,8278,8393
HA2  8,13384,14337,14455,14655
HA2  9,15078,16152,16284,16510
HA3  0,11086,11875,11973,12139
HA3  5,10451,11195,11287,11444
HA3  6,8913,9548,9626,9760
HA3  7,11941,12791,12896,13075
HA3  8,11810,12651,12755,12932
HA3  9,15353,16446,16581,16812
HA4  0,9588,10271,10355,10499
HA4  6,11109,11900,11998,12164
HA4  7,10210,10937,11027,11180
HA4  8,8371,8967,9041,9166
HA4  9,10897,11673,11769,11932
HA5  1,9342,10007,10089,10229
HA5  2,8712,9332,9409,9540
HA5  3,10423,11165,11257,11413
HA5  4,8766,9390,9467,9599
HA5  5,7742,8293,8361,8477
HA6  1,8581,9192,9267,9396
HA6  2,7908,8471,8541,8659
HA6  3,5495,5886,5935,6017
HA7  1,8127,8706,8777,8899
HA7  2,12117,12980,13086,13268
HA7  3,8357,8952,9026,9151
HA7  4,8596,9208,9284,9413
HA8  0,11717,12551,12654,12830
HA8  5,12361,13241,13350,13535
HA8  6,11406,12218,12318,12490
HA8  7,4646,4977,5018,5087
HA8  8,14624,15665,15794,16013
HA8  9,11624,12452,12554,12728
HA9  0,2646,2834,2858,2897
HA9  6,10722,11485,11580,11741
HA9  7,9081,9728,9807,9944
HA9  8,13144,14080,14196,14393
HA9  9,12252,13124,13232,13416
HD1  1,241,258,260,264
HD1  3,8307,8898,8972,9096
HD1  4,8542,9150,9225,9353
HD1  5,2836,3038,3063,3105
HD1  6,3036,3252,3279,3324
HD2  1,15473,16575,16711,16943
